Date,Team1,Team2,Winner,Venue
6-21-2009, Pakistan , Sri Lanka,Pakistan,Lord's
6-19-2009, Sri Lanka , West Indies,Sri Lanka,Kennington Oval
6-18-2009, Pakistan , South Africa,Pakistan,Trent Bridge
6-16-2009, New Zealand , Sri Lanka,Sri Lanka,Trent Bridge
6-16-2009, India , South Africa,South Africa,Trent Bridge
6-15-2009, England , West Indies,West Indies,Kennington Oval
6-15-2009, Ireland , Pakistan,Pakistan,Kennington Oval
6-14-2009, Ireland , Sri Lanka,Sri Lanka,Lord's
6-14-2009, England , India,England,Lord's
6-13-2009, South Africa , West Indies,South Africa,Kennington Oval
6-13-2009, New Zealand , Pakistan,Pakistan,Kennington Oval
06-12-2009, Pakistan , Sri Lanka,Sri Lanka,Lord's
06-12-2009, India , West Indies,West Indies,Lord's
06-11-2009, Ireland , New Zealand,New Zealand,Trent Bridge
06-11-2009, England , South Africa,South Africa,Trent Bridge
06-10-2009, India , Ireland,India,Trent Bridge
06-10-2009, Sri Lanka , West Indies,Sri Lanka,Trent Bridge
06-09-2009, Netherlands , Pakistan,Pakistan,Lord's
06-09-2009, New Zealand , South Africa,South Africa,Lord's
06-08-2009, Bangladesh , Ireland,Ireland,Trent Bridge
06-08-2009, Australia , Sri Lanka,Sri Lanka,Trent Bridge
06-07-2009, Scotland , South Africa,South Africa,Kennington Oval
06-07-2009, England , Pakistan,England,Kennington Oval
06-06-2009, New Zealand , Scotland,New Zealand,Kennington Oval
06-06-2009, Australia , West Indies,West Indies,Kennington Oval
06-06-2009, Bangladesh , India,India,Trent Bridge
06-05-2009, England , Netherlands,Netherlands,Lord's
05-07-2009, Australia , Pakistan,Pakistan,Dubai International Cricket Stadium
3-29-2009, South Africa , Australia,South Africa,SuperSport Park
3-27-2009, South Africa , Australia,South Africa,New Wanderers Stadium
3-15-2009, West Indies , England,West Indies,Queen's Park Oval
2-27-2009, New Zealand , India,New Zealand,Westpac Stadium
2-25-2009, New Zealand , India,New Zealand,AMI Stadium
2-15-2009, Australia , New Zealand,Australia,Sydney Cricket Ground
02-10-2009, Sri Lanka , India,India,R Premadasa Stadium
1-13-2009, Australia , South Africa,Australia,Brisbane Cricket Ground
01-11-2009, Australia , South Africa,Australia,Melbourne Cricket Ground
12-28-2008, New Zealand , West Indies,New Zealand,Seddon Park
12-26-2008, New Zealand , West Indies,tie,Eden Park
11-05-2008, South Africa , Bangladesh,South Africa,New Wanderers Stadium
10-13-2008, Pakistan , Sri Lanka,Sri Lanka,Maple Leaf North-West Ground
10-11-2008, Pakistan , Sri Lanka,Pakistan,Maple Leaf North-West Ground
08-04-2008, Ireland , Kenya,Ireland,Civil Service Cricket Club
08-04-2008, Netherlands , Scotland,Netherlands,Civil Service Cricket Club
08-03-2008, Bermuda , Scotland,Scotland,Civil Service Cricket Club
6-20-2008, West Indies , Australia,West Indies,Kensington Oval
6-13-2008, England , New Zealand,England,Old Trafford
4-20-2008, Pakistan , Bangladesh,Pakistan,National Stadium
02-07-2008, New Zealand , England,England,Jade Stadium
02-05-2008, New Zealand , England,England,Eden Park
02-01-2008, Australia , India,Australia,Melbourne Cricket Ground
1-18-2008, South Africa , West Indies,South Africa,New Wanderers Stadium
12-16-2007, South Africa , West Indies,West Indies,St George's Park
12-11-2007, Australia , New Zealand,Australia,Western Australia Cricket Association Ground
11-23-2007, South Africa , New Zealand,South Africa,New Wanderers Stadium
10-20-2007, India , Australia,India,Brabourne Stadium
9-24-2007, India , Pakistan,India,New Wanderers Stadium
9-22-2007, New Zealand , Pakistan,Pakistan,Newlands
9-22-2007, Australia , India,India,Kingsmead
9-20-2007, Australia , Sri Lanka,Australia,Newlands
9-20-2007, Bangladesh , Pakistan,Pakistan,Newlands
9-20-2007, South Africa , India,India,Kingsmead
9-19-2007, South Africa , New Zealand,South Africa,Kingsmead
9-19-2007, England , India,India,Kingsmead
9-18-2007, England , New Zealand,New Zealand,Kingsmead
9-18-2007, Australia , Pakistan,Pakistan,New Wanderers Stadium
9-18-2007, Bangladesh , Sri Lanka,Sri Lanka,New Wanderers Stadium
9-17-2007, Pakistan , Sri Lanka,Pakistan,New Wanderers Stadium
9-16-2007, India , New Zealand,New Zealand,New Wanderers Stadium
9-16-2007, Australia , Bangladesh,Australia,Newlands
9-16-2007, South Africa , England,South Africa,Newlands
9-15-2007, New Zealand , Sri Lanka,Sri Lanka,New Wanderers Stadium
9-15-2007, South Africa , Bangladesh,South Africa,Newlands
9-14-2007, Kenya , Sri Lanka,Sri Lanka,New Wanderers Stadium
9-14-2007, Australia , England,Australia,Newlands
9-14-2007, India , Pakistan,tie,Kingsmead
9-13-2007, Bangladesh , West Indies,Bangladesh,New Wanderers Stadium
9-13-2007, England , Zimbabwe,England,Newlands
09-12-2007, Kenya , New Zealand,New Zealand,Kingsmead
09-12-2007, Pakistan , Scotland,Pakistan,Kingsmead
09-12-2007, Australia , Zimbabwe,Zimbabwe,Newlands
09-11-2007, South Africa , West Indies,South Africa,New Wanderers Stadium
09-04-2007, Kenya , Pakistan,Pakistan,Gymkhana Club Ground
09-02-2007, Bangladesh , Pakistan,Pakistan,Gymkhana Club Ground
09-01-2007, Kenya , Bangladesh,Bangladesh,Gymkhana Club Ground
6-29-2007, England , West Indies,England,Kennington Oval
6-28-2007, England , West Indies,West Indies,Kennington Oval
01-09-2007, Australia , England,Australia,Sydney Cricket Ground
12-26-2006, New Zealand , Sri Lanka,New Zealand,Eden Park
12-22-2006, New Zealand , Sri Lanka,Sri Lanka,Westpac Stadium
12-01-2006, South Africa , India,India,New Wanderers Stadium
8-28-2006, England , Pakistan,Pakistan,County Ground
6-15-2006, England , Sri Lanka,Sri Lanka,The Rose Bowl
2-24-2006, South Africa , Australia,South Africa,New Wanderers Stadium
2-16-2006, New Zealand , West Indies,tie,Eden Park
01-09-2006, Australia , South Africa,Australia,Brisbane Cricket Ground
10-21-2005, South Africa , New Zealand,New Zealand,New Wanderers Stadium
6-13-2005, England , Australia,England,The Rose Bowl
2-17-2005, New Zealand , Australia,Australia,Eden Park
