Date,Team1,Team2,Winner,Venue
02-04-2016, UAE , Scotland,United Arab Emirates,ICC Academy
02-03-2016, UAE , Netherlands,Netherlands,ICC Academy
1-31-2016, Australia , India,India,Sydney Cricket Ground
1-31-2016, Hong Kong , Scotland,Scotland,Mission Road Ground
1-30-2016, Hong Kong , Scotland,Hong Kong,Mission Road Ground
1-29-2016, Australia , India,India,Melbourne Cricket Ground
1-26-2016, Australia , India,India,Adelaide Oval
1-22-2016, New Zealand , Pakistan,New Zealand,Westpac Stadium
1-22-2016, Bangladesh , Zimbabwe,Zimbabwe,Sheikh Abu Naser Stadium
1-20-2016, Bangladesh , Zimbabwe,Zimbabwe,Sheikh Abu Naser Stadium
1-17-2016, New Zealand , Pakistan,New Zealand,Seddon Park
1-17-2016, Bangladesh , Zimbabwe,Bangladesh,Sheikh Abu Naser Stadium
1-15-2016, New Zealand , Pakistan,Pakistan,Eden Park
1-15-2016, Bangladesh , Zimbabwe,Bangladesh,Sheikh Abu Naser Stadium
01-10-2016, New Zealand , Sri Lanka,New Zealand,Eden Park
01-10-2016, Afghanistan , Zimbabwe,Afghanistan,Sharjah Cricket Stadium
01-08-2016, Afghanistan , Zimbabwe,Afghanistan,Sharjah Cricket Stadium
01-07-2016, New Zealand , Sri Lanka,New Zealand,Bay Oval
11-30-2015, England , Pakistan,tie,Sharjah Cricket Stadium
11-30-2015, Afghanistan , Oman,Afghanistan,Sheikh Zayed Stadium
11-27-2015, England , Pakistan,England,Dubai International Cricket Stadium
11-26-2015, England , Pakistan,England,Dubai International Cricket Stadium
11-26-2015, Hong Kong , Oman,Hong Kong,Sheikh Zayed Stadium
11-25-2015, Hong Kong , Oman,Oman,Sheikh Zayed Stadium
11-22-2015, UAE , Oman,United Arab Emirates,Sheikh Zayed Stadium
11-21-2015, Hong Kong , Oman,Oman,Sheikh Zayed Stadium
11-15-2015, Bangladesh , Zimbabwe,Zimbabwe,Shere Bangla National Stadium
11-13-2015, Bangladesh , Zimbabwe,Bangladesh,Shere Bangla National Stadium
11-11-2015, Sri Lanka , West Indies,West Indies,R Premadasa Stadium
11-09-2015, Sri Lanka , West Indies,Sri Lanka,Pallekele International Cricket Stadium
10-28-2015, Zimbabwe , Afghanistan,Afghanistan,Queens Sports Club
10-26-2015, Zimbabwe , Afghanistan,Afghanistan,Queens Sports Club
10-05-2015, India , South Africa,South Africa,Barabati Stadium
10-02-2015, India , South Africa,South Africa,Himachal Pradesh Cricket Association Stadium
9-29-2015, Zimbabwe , Pakistan,Pakistan,Harare Sports Club
9-27-2015, Zimbabwe , Pakistan,Pakistan,Harare Sports Club
8-31-2015, England , Australia,England,Sophia Gardens
8-16-2015, South Africa , New Zealand,New Zealand,SuperSport Park
8-14-2015, South Africa , New Zealand,South Africa,Kingsmead
08-09-2015, Zimbabwe , New Zealand,New Zealand,Harare Sports Club
08-01-2015, Sri Lanka , Pakistan,Pakistan,R Premadasa Stadium
7-30-2015, Sri Lanka , Pakistan,Pakistan,R Premadasa Stadium
7-25-2015, Hong Kong , Scotland,Scotland,The Village
7-25-2015, Afghanistan , Oman,Afghanistan,Clontarf Cricket Club Ground
7-25-2015, Ireland , Netherlands,Netherlands,The Village
7-23-2015, Afghanistan , Papua New Guinea,Afghanistan,The Village
7-21-2015, Afghanistan , Hong Kong,Hong Kong,The Village
7-19-2015, Zimbabwe , India,Zimbabwe,Harare Sports Club
7-17-2015, Nepal , Papua New Guinea,Papua New Guinea,The Village
7-17-2015, Ireland , Hong Kong,Hong Kong,The Village
7-17-2015, Zimbabwe , India,India,Harare Sports Club
7-15-2015, Ireland , Papua New Guinea,Papua New Guinea,Civil Service Cricket Club
7-15-2015, Hong Kong , Nepal,Hong Kong,Civil Service Cricket Club
7-13-2015, Nepal , Ireland,Ireland,Civil Service Cricket Club
07-12-2015, Netherlands , UAE,Netherlands,Grange Cricket Club Ground
07-12-2015, Scotland , Afghanistan,Afghanistan,Grange Cricket Club Ground
07-11-2015, Scotland , Netherlands,Netherlands,Grange Cricket Club Ground
07-10-2015, Afghanistan , UAE,Afghanistan,Grange Cricket Club Ground
07-09-2015, Scotland , UAE,Scotland,Grange Cricket Club Ground
07-09-2015, Afghanistan , Netherlands,Afghanistan,Grange Cricket Club Ground
07-07-2015, Bangladesh , South Africa,South Africa,Shere Bangla National Stadium
07-05-2015, Bangladesh , South Africa,South Africa,Shere Bangla National Stadium
07-02-2015, Netherlands , Nepal,Netherlands,Hazelaarweg
07-01-2015, Netherlands , Nepal,Netherlands,VRA Ground
6-23-2015, England , New Zealand,England,Old Trafford
6-20-2015, Ireland , Scotland,Scotland,Bready Cricket Club
5-24-2015, Pakistan , Zimbabwe,Pakistan,Gaddafi Stadium
5-22-2015, Pakistan , Zimbabwe,Pakistan,Gaddafi Stadium
4-24-2015, Bangladesh , Pakistan,Bangladesh,Shere Bangla National Stadium
1-14-2015, South Africa , West Indies,South Africa,Kingsmead
01-11-2015, South Africa , West Indies,West Indies,New Wanderers Stadium
01-09-2015, South Africa , West Indies,West Indies,Newlands
12-05-2014, New Zealand , Pakistan,New Zealand,Dubai International Cricket Stadium
12-04-2014, New Zealand , Pakistan,Pakistan,Dubai International Cricket Stadium
11-24-2014, Hong Kong , Nepal,Hong Kong,P Sara Oval
11-09-2014, Australia , South Africa,Australia,Stadium Australia
11-07-2014, Australia , South Africa,Australia,Melbourne Cricket Ground
11-05-2014, Australia , South Africa,South Africa,Adelaide Oval
10-05-2014, Australia , Pakistan,Australia,Dubai International Cricket Stadium
09-07-2014, England , India,England,Edgbaston
8-27-2014, West Indies , Bangladesh,no result,Warner Park
07-06-2014, West Indies , New Zealand,West Indies,Windsor Park
07-05-2014, West Indies , New Zealand,New Zealand,Windsor Park
5-20-2014, England , Sri Lanka,Sri Lanka,Kennington Oval
04-06-2014, India , Sri Lanka,Sri Lanka,Shere Bangla National Stadium
04-04-2014, India , South Africa,India,Shere Bangla National Stadium
04-03-2014, Sri Lanka , West Indies,Sri Lanka,Shere Bangla National Stadium
04-01-2014, Bangladesh , Australia,Australia,Shere Bangla National Stadium
04-01-2014, Pakistan , West Indies,West Indies,Shere Bangla National Stadium
3-31-2014, England , Netherlands,Netherlands,Zahur Ahmed Chowdhury Stadium
3-31-2014, New Zealand , Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium
3-30-2014, Bangladesh , Pakistan,Pakistan,Shere Bangla National Stadium
3-30-2014, Australia , India,India,Shere Bangla National Stadium
3-29-2014, Netherlands , New Zealand,New Zealand,Zahur Ahmed Chowdhury Stadium
3-29-2014, England , South Africa,South Africa,Zahur Ahmed Chowdhury Stadium
3-28-2014, Australia , West Indies,West Indies,Shere Bangla National Stadium
3-28-2014, Bangladesh , India,India,Shere Bangla National Stadium
3-27-2014, Netherlands , South Africa,South Africa,Zahur Ahmed Chowdhury Stadium
3-27-2014, England , Sri Lanka,England,Zahur Ahmed Chowdhury Stadium
3-25-2014, Bangladesh , West Indies,West Indies,Shere Bangla National Stadium
3-24-2014, New Zealand , South Africa,South Africa,Zahur Ahmed Chowdhury Stadium
3-24-2014, Netherlands , Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium
3-23-2014, Australia , Pakistan,Pakistan,Shere Bangla National Stadium
3-23-2014, India , West Indies,India,Shere Bangla National Stadium
3-22-2014, South Africa , Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium
3-22-2014, England , New Zealand,New Zealand,Zahur Ahmed Chowdhury Stadium
3-21-2014, UAE , Zimbabwe,Zimbabwe,Sylhet Stadium
3-21-2014, Ireland , Netherlands,Netherlands,Sylhet Stadium
3-21-2014, India , Pakistan,India,Shere Bangla National Stadium
3-20-2014, Afghanistan , Nepal,Nepal,Zahur Ahmed Chowdhury Stadium
3-20-2014, Bangladesh , Hong Kong,Hong Kong,Zahur Ahmed Chowdhury Stadium
3-19-2014, Netherlands , Zimbabwe,Zimbabwe,Sylhet Stadium
3-19-2014, Ireland , UAE,Ireland,Sylhet Stadium
3-18-2014, Afghanistan , Hong Kong,Afghanistan,Zahur Ahmed Chowdhury Stadium
3-18-2014, Bangladesh , Nepal,Bangladesh,Zahur Ahmed Chowdhury Stadium
3-17-2014, Ireland , Zimbabwe,Ireland,Sylhet Stadium
3-17-2014, Netherlands , UAE,Netherlands,Sylhet Stadium
3-16-2014, Bangladesh , Afghanistan,Bangladesh,Shere Bangla National Stadium
3-16-2014, Hong Kong , Nepal,Nepal,Zahur Ahmed Chowdhury Stadium
3-14-2014, South Africa , Australia,Australia,SuperSport Park
3-13-2014, West Indies , England,England,Kensington Oval
03-12-2014, South Africa , Australia,Australia,Kingsmead
03-11-2014, West Indies , England,West Indies,Kensington Oval
03-09-2014, West Indies , England,West Indies,Kensington Oval
2-21-2014, West Indies , Ireland,West Indies,Sabina Park
2-19-2014, West Indies , Ireland,Ireland,Sabina Park
2-14-2014, Bangladesh , Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium
02-12-2014, Bangladesh , Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium
02-02-2014, Australia , England,Australia,Stadium Australia
1-31-2014, Australia , England,Australia,Melbourne Cricket Ground
1-29-2014, Australia , England,Australia,Bellerive Oval
